,,,,,,,,,,,,,,,,,,,▼リアルタイムの視聴数も含まれています,,,,▼リアルタイムの視聴数も含まれています,▼リアルタイムの視聴数も含まれています,,
,,,▼関数,,,,告知投稿（▼配信2日後の数値となります。）,,,,,,,,,,リアルタイム視聴,,"アーカイブ視聴
,,,,,,,,,,2回目（投稿）,"18,739",147,0.78%,25,7,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,741,-,-,10,0,0,171,15,"1,874",36,0,ー,"2,461","2,684",,
,,,,,,,,,,2回（ストーリーズ）,608,-,-,7,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"41,804",270,0.65%,67,18,1,"2,372",15,"8,447",69,1,"19,000","9,654","8,689",,
,8月度,2024-8-5,(月),夏！崩れにくいメイク情報,・X　　　　 @matsucoco_co,"ＭＪ　ポアレスフリーザー
ＭＱ　ＤスキンセンサーＢ　ＮＢ
ＭＱ　ＤスキンセンサーＢ　ＬＡ
ＭＱ　ＤスキンセンサーベースＮＥＯ　ＭＩ
Ｓ　ＦＤブラシ　１３１
ＭＱＤエツセンスリキツドＯＣ２０
ＭＱＤエツセンスリキツドＯＣ１０
ＭＱＤエツセンスリキツドＢＰ００
ＭＱＤエツセンスリキツドＯＣ３０
ＭＱＤエツセンスリキツドＳＢ１０
インテグレートスッピンメイカートーンアップＰＷＵＶ
ＭＪ　モイストカクテルフイクサー　ＥＸ
ＩＥ　フワマユマスカラ　ＢＲ６７２
ＩＥ　フワマユマスカラ　ＢＲ７７０
ＩＥ　フワマユマスカラ　ＢＲ７７３
ＩＥ　フワマユマスカラ　ＢＲ３７１
ＩＥ　フワマユマスカラ　ＰＫ３７４
ＩＥ　フワマユマスカラ　クリアカラー
ザ・レチノタイム ホワイト クリアローション
ザ・レチノタイム ホワイト ホワイトニングローション
",8/2,8/5,,1回目（投稿）,"48,341",169,0.35%,26,9,0,"2,700",0,"7,290",42,0,"18,209","7,991","8,445",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,"28,219",60,0.21%,20,2,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,"1,276",-,-,14,0,0,236,136,"3,116",53,0,ー,"3,840","4,109",,
,,,,,,,,,,2回（ストーリーズ）,728,-,-,16,0,0,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"78,564",229,0.29%,76,11,0,"2,936",136,"10,406",95,0,"18,209","11,831","12,554",,
,8月度,2024-8-12,(月),夏の晩酌に最高！お酒にあう至福のおつまみ特集,・X　　　　 @matsucoco_co,"matsukiyo LAB プロテインチキンバー　ブラックペッパー味 ５０ｇ
matsukiyo LAB プロテインチキンバー　塩こうじ味 ５０ｇ
亀田製菓 亀田の柿の種　６袋 １８０ｇ
亀田製菓 減塩亀田の柿の種6袋 １６４ｇ
カルビー じゃがりこサラダ ５７ｇ
カルビー じゃがりこ たらこバター ５２ｇ
カルビー じゃがりこチーズ ５５ｇ
カルビー じゃがりこじゃがバター ５５ｇ
なとり おつまみ牛たん ３８ｇ
なとり 一度は食べていただきたい 贅沢なチーズ鱈 ６４ｇ
なとり 一度は食べていただきたい おいしいサラミ ４６ｇ
ヤガイ 極細ビーフジャーキー ２８ｇ
江崎グリコ クラッツ（枝豆） ４２ｇ
江崎グリコ クラッツ（ペッパーベーコン） ４２ｇ
",8/12,,,1回目（投稿）,"20,634",89,0.43%,24,2,0,"2,228",1,"5,293",29,0,"20,465","5,779","6,024",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,"・LPのコメント数が過去最高の数値。
・クーポンの紹介もしたことで、視聴者の反応は良かった。
　クーポン利用量確認中。
・資生堂回との視聴数の違い確認中。
　⇒Firework分析サマリで数値異常発生のため、数値が低く出ていた。
　　正しい数値は石島様から記載いただいています。"
,,,,,,,,,,2回目（投稿）,-,-,-,-,-,-,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,911,-,-,112,0,0,178,50,"1,684",39,0,ー,"2,360","2,619",,
,,,,,,,,,,2回（ストーリーズ）,-,-,-,-,-,-,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"21,545",89,0.41%,136,2,0,"2,406",51,"6,977",68,0,"20,465","8,139","8,643",,
,8月度,2024-8-19,(月),必見！自分に合った生理用品の選び方,・X　　　　 @matsucoco_co,生理用品,8/19,,,1回目（投稿）,"15,448",74,0.48%,16,3,0,"2,875",22,"5,370",31,3,"19,227","5,905","6,295",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,クーポン利用状況は、まだ効果がみえていない。
,,,,,,,,,,2回目（投稿）,-,-,-,-,-,-,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,890,-,-,14,0,0,204,47,"1,659",333,0,ー,"2,349","2,638",,
,,,,,,,,,,2回（ストーリーズ）,-,-,-,-,-,-,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"16,338",74,0.45%,30,3,0,"3,079",69,"7,029",364,3,"19,227","8,254","8,933",,
,9月度,2024-9-2,(月),"日本初上陸！！
韓国で大人気！CLIOの飲むコラーゲン
",・X　　　　 @matsucoco_co,"リッチコラーゲン
リッチコラーゲンホワイトG
リッチエラスチン
",9/2,,,1回目（投稿）,"39,275",102,0.26%,15,2,0,2746,1,"5,541",28,0,"16,170","6,133","6,388",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,"25,217",65,0.26%,24,2,0,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,718,-,-,13,0,0,177,65,"1,795",37,0,ー,,"2,880",,
,,,,,,,,,,2回（ストーリーズ）,-,-,-,-,-,-,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"65,210",167,0.26%,52,4,0,"2,923",66,"7,336",65,0,"16,170","6,133","9,268",,
,9月度,2024-9-9,(月),"美容スタックがガチレビュー
カラーリップ6選
",・X　　　　 @matsucoco_co,"レチノタイムリップエッセンスプランパー　レッド
キュレル　リップケアクリーム　美発色レッド ４．２ｇ
ニベア　モイストピュアカラーリップ　チェリーレッド ３．５ｇ 
ニベア　リッチケア＆カラーリップ　シアーレッド ２ｇ 
メンソレータムフラッシュティント　レッド ２．０ｇ 
メンソレータムリップフォンデュ　プラムレッド ３．２ｇ 
",9/9,,,1回目（投稿）,,,,,,,"2,828",3,"6,019",,,,,-,https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,196,40,9/11,,,,,"3,141",,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"3,024",43,"51,565",0,0,0,0,"3,141",,
,9月度,2024-9-16,(月),"【衣替え前必見】
衣類を守るおすすめ防虫剤",・X　　　　 @matsucoco_co,防虫剤,,,,1回目（投稿）,,,,,,,2868,0,9/18,,,,,"8,453",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,122,4,9/18,,,,,"2,660",,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"2,990",4,"91,106",0,0,0,0,"11,113",,
,9月度,2024-9-30,(月),"新商品エリクシール「ザ・セラム」を使った
秋のスペシャルケアを美容のプロが伝授",・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,1824,0,10/2,,,,"4,530","4,857",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
