,,,,,,,,,,,,,,,,,,,▼リアルタイムの視聴数も含まれています,,,,▼リアルタイムの視聴数も含まれています,▼リアルタイムの視聴数も含まれています,,
,,,▼関数,,,,告知投稿（▼配信2日後の数値となります。）,,,,,,,,,,リアルタイム視聴,,"アーカイブ視聴
,,2025-10-21,(火),プロスタイル,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,2111,,,,,,,4082,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,4358,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"2,111",0,0,0,0,0,0,"8,440",,
,,2025-10-28,(火),KATE,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,2605,,,,,,,4701,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,4863,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"2,605",0,0,0,0,0,0,"9,564",,
,,2025-11-4,(火),クナイプ,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,1551,,,,,,,3190,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"1,551",0,0,0,0,0,0,"3,190",,
,,2025-11-11,(火),バンドエイド,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,1985,,,,,,,4717,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"1,985",0,0,0,0,0,0,"4,717",,
,,2025-11-18,(火),プラストゥモロー,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,1767,,,,,,,3703,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"1,767",0,0,0,0,0,0,"3,703",,
,,2025-11-28,(火),GENiS,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,2339,,,,,,,4801,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"2,339",0,0,0,0,0,0,"4,801",,
,,2025-12-2,(火),nake,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,2394,,,,,,,5550,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"2,394",0,0,0,0,0,0,"5,550",,
,,2025-12-9,(火),住居用洗剤,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,2459,,,,,,,4878,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"2,459",0,0,0,0,0,0,"4,878",,
,,2025-12-16,(火),プロスタイル,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,2419,,,,,,,5653,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"2,419",0,0,0,0,0,0,"5,653",,
,,2025-12-23,(金),リアルバイ,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,,,,,,,,4004,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,"4,004",,
,,2026-1-13,(火),"
ビューティー＆エチケット",・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,1637,,,,,,,4421,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"1,637",0,0,0,0,0,0,"4,421",,
,,2026-1-20,(火),コスメランキング,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,1964,,,,,,,4492,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"1,964",0,0,0,0,0,0,"4,492",,
,,2026-1-27,(火),保湿特集,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,2476,,,,,,,4608,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"2,476",0,0,0,0,0,0,"4,608",,
,,2026-2-3,(火),花粉・乾燥,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,1914,,,,,,,3519,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"1,914",0,0,0,0,0,0,"3,519",,
,,2026-2-17,(火),いち髪,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,1239,,,,,,,3175,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"1,239",0,0,0,0,0,0,"3,175",,
,,2026-2-24,(火),春の新作コスメ,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,1472,,,,,,,3673,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"1,472",0,0,0,0,0,0,"3,673",,
,,2026-3-3,(火),KATE,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,1338,,,,,,,,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"1,338",0,0,0,0,0,0,0,,
,,2026-3-10,(火),キャンメイク,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,1198,,,,,,,,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"1,198",0,0,0,0,0,0,0,,
,,2026-3-17,(火),スキンアクア,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,1613,,,,,,,,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"1,613",0,0,0,0,0,0,0,,
,,,#REF!,,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,,
,,,(火),,・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,,,,,,,,,,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,,
